sha256,size,count,archives,files
d69e64c595b9511f46b15bc219d526a7f342754942935134731a5cb1589dc4fb,15326,2,libraries;libraries2,"[{""archive"": ""libraries"", ""path"": ""federated-settlement/src/lib.rs"", ""size"": 15326}, {""archive"": ""libraries2"", ""path"": ""federated-settlement/src/lib.rs"", ""size"": 15326}]"
c13ce6ba86cba0ede9bf50dd02f596c22ec076615508637a2adedd6e05cdfa68,13611,2,libraries;libraries2,"[{""archive"": ""libraries"", ""path"": ""profile-runtime/src/rules.rs"", ""size"": 13611}, {""archive"": ""libraries2"", ""path"": ""profile-runtime/src/rules.rs"", ""size"": 13611}]"
ce9c78761998532fd348a862cc1b04ac66661963722802eb6fc00f51807e2671,9794,2,libraries;libraries2,"[{""archive"": ""libraries"", ""path"": ""profile-runtime/src/constitution.rs"", ""size"": 9794}, {""archive"": ""libraries2"", ""path"": ""profile-runtime/src/constitution.rs"", ""size"": 9794}]"
b5032db4030554ad638ac8e9c1cb69204f0339c271ba4ff99281367357ed52f0,9435,2,libraries;libraries2,"[{""archive"": ""libraries"", ""path"": ""profile-runtime/src/profile_set.rs"", ""size"": 9435}, {""archive"": ""libraries2"", ""path"": ""profile-runtime/src/profile_set.rs"", ""size"": 9435}]"
c8a5ce841d9e3631d5a662805a29cb859d5713617b574ffe104fe53bfbcc85e6,6141,2,libraries;libraries2,"[{""archive"": ""libraries"", ""path"": ""profile-runtime/tests/reference_composition.rs"", ""size"": 6141}, {""archive"": ""libraries2"", ""path"": ""profile-runtime/tests/reference_composition.rs"", ""size"": 6141}]"
ec3764e4cc66b8787dd0b3414f4d51bd64ea517f1833d819b998a9d4b4447fff,4082,2,libraries;libraries2,"[{""archive"": ""libraries"", ""path"": ""profile-runtime/tests/example_roundtrip.rs"", ""size"": 4082}, {""archive"": ""libraries2"", ""path"": ""profile-runtime/tests/example_roundtrip.rs"", ""size"": 4082}]"
51655c2284ea0bfd9ce4a2251a04c5ea5463dd02d63e4b4b407d18a555de3b5e,3928,2,libraries;libraries2,"[{""archive"": ""libraries"", ""path"": ""remote-oracle-admission/tests/v25_local_constitution_refs.rs"", ""size"": 3928}, {""archive"": ""libraries2"", ""path"": ""remote-oracle-admission/tests/v25_local_constitution_refs.rs"", ""size"": 3928}]"
aae090fbb2c4ab72806e386dada1e5324853b4daffd47b15279657370625b96f,3879,2,libraries;libraries2,"[{""archive"": ""libraries"", ""path"": ""profile-runtime/src/applicability.rs"", ""size"": 3879}, {""archive"": ""libraries2"", ""path"": ""profile-runtime/src/applicability.rs"", ""size"": 3879}]"
f0b6a4ba9b19786e1c66870fae9061ea8600a97bed24a1bcb4e40cfd99b633c0,3874,2,libraries;libraries2,"[{""archive"": ""libraries"", ""path"": ""remote-oracle-admission/tests/validation_tests.rs"", ""size"": 3874}, {""archive"": ""libraries2"", ""path"": ""remote-oracle-admission/tests/validation_tests.rs"", ""size"": 3874}]"
784db8d312e8b2330a024ec85513d0c6566da79d8cd728c39f51bf76a6f9e991,3642,2,libraries;libraries2,"[{""archive"": ""libraries"", ""path"": ""federated-settlement/tests/v25_local_constitution_refs.rs"", ""size"": 3642}, {""archive"": ""libraries2"", ""path"": ""federated-settlement/tests/v25_local_constitution_refs.rs"", ""size"": 3642}]"
