type_name,kind,owner,file,line,definition_kind,pub_use
ArtifactVersion,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,118,local_def,
AidensRunContextV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,123,local_def,
ProviderRouteKindV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,157,local_def,
ProviderRouteReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,190,local_def,
ProviderBackendStatusV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,240,local_def,
ProviderBackendMatrixEntryV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,259,local_def,
ProviderBackendMatrixV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,279,local_def,
ProviderReadinessReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,303,local_def,
ProviderReadinessReportDraftV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,318,local_def,
ProviderRouteReportV2,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,347,local_def,
ProviderRouteReportDraftV2,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,365,local_def,
ProviderCertificationFixtureV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,411,local_def,
ProviderCertificationFixtureDraftV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,425,local_def,
ArtifactKindV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,455,local_def,
PoisonReportEntryV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,622,local_def,
ExecutionLineageGraphV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,654,local_def,
ExecutionLineageNodeV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,680,local_def,
ExecutionLineageEdgeV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,687,local_def,
ToolLifecycleStateV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,695,local_def,
CapabilityGateOutcomeV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,710,local_def,
CapabilityGateDecisionV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,717,local_def,
CapabilityGateDecisionDraftV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,785,local_def,
PermitGrantV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,805,local_def,
ApprovalRequestV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,915,local_def,
ApprovalDecisionV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,987,local_def,
PermitUseReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1033,local_def,
TurnModeV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,1098,local_def,
ToolCallSourceV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,1120,local_def,
ToolCallRequestV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1126,local_def,
ToolCallResultV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1163,local_def,
TurnExecutionPlanV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1208,local_def,
TurnFinalStateV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,1249,local_def,
TurnReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1259,local_def,
StopRuleV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,1339,local_def,
StopRuleReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1351,local_def,
BudgetExhaustionReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1383,local_def,
BudgetExhaustionReportDraftV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1419,local_def,
ToolInvocationOutcomeV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,1434,local_def,
ToolInvocationReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1441,local_def,
ToolAttemptReportV1,type,aidens-contracts,crates/aidens-contracts/src/lib.rs,1465,local_def,
RunReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1547,local_def,
RepoReadReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1614,local_def,
RepoListEntryV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1675,local_def,
RepoListReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1682,local_def,
PatchProposalV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1738,local_def,
PatchApplyReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1773,local_def,
CommandRunReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1844,local_def,
SandboxCapabilityTruthV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1933,local_def,
CodexPacketV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1978,local_def,
CodexPacketInputV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1995,local_def,
