type_name,kind,owner,file,line,definition_kind,pub_use
AgentSpecSupportLabelV1,enum,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,9,local_def,
AgentProviderModeV1,enum,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,35,local_def,
AgentMemoryModeV1,enum,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,51,local_def,
AgentPermitRuleV1,enum,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,67,local_def,
AgentVerificationCheckV1,enum,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,74,local_def,
AgentSpecProviderPolicyV1,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,82,local_def,
AgentSpecMemoryPolicyV1,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,89,local_def,
AgentSpecToolPolicyV1,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,96,local_def,
AgentSpecPermitPolicyV1,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,102,local_def,
AgentSpecVerificationPolicyV1,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,109,local_def,
AgentSpecEvidencePolicyV1,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,115,local_def,
AgentSpecBudgetPolicyV1,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,123,local_def,
AgentSpecV1,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,130,local_def,
AiDENsRunSupportTierEvidenceV1,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,263,local_def,
AiDENsRunBundleV2,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,276,local_def,
AiDENsRunBundleV3,struct,aidens-contracts,crates/aidens-contracts/src/agent_bundle.rs,382,local_def,
AiDENsAppPlanV1,struct,aidens-contracts,crates/aidens-contracts/src/app_status.rs,4,local_def,
AiDENsCompiledPlanV1,struct,aidens-contracts,crates/aidens-contracts/src/app_status.rs,18,local_def,
