path,bytes,lines
AiDENs/crates/aidens-contracts/src/lib.rs,371136,10410
AiDENs/crates/aidens-cli/src/lib.rs,235631,6698
knowledge-runtime/tests/cross_crate_proof.rs,133452,3610
AiDENs/crates/aidens-tool-kit/src/lib.rs,90164,2454
AiDENs/crates/aidens-runner/src/lib.rs,75397,1910
verification-control/src/lib.rs,70140,1915
AiDENs/crates/aidens-agency-kit/src/lib.rs,67998,1815
living-memory/living-memory/src/lab/evidence.rs,66113,1627
semantic-memory/src/lib.rs,62756,1619
semantic-memory/src/projection_lane.rs,61912,1471
semantic-memory/tests/import_ugly_cases.rs,61103,1783
semantic-memory/tests/import_boundary_tests.rs,60779,1641
semantic-memory-forge/src/envelope.rs,56863,1434
kernel-conformance/src/lib.rs,56767,1394
profile-runtime/src/adapters.rs,54472,1792
stack-ids/src/ids_tests.rs,51970,987
semantic-memory/src/db.rs,51686,1614
llm-tool-runtime/src/runtime.rs,50363,1400
semantic-memory/src/search.rs,50214,1596
living-memory/living-memory/src/store/db.rs,50078,1416
AiDENs/crates/aidens-provider-kit/src/lib.rs,49825,1472
living-memory/living-memory/tests/export_tests.rs,49742,1422
knowledge-runtime/src/runtime/core.rs,46056,1146
living-memory/living-memory/src/export.rs,45354,1205
forge-pilot/src/loop_runner.rs,44472,1074
Primitives/cea-sqlite/src/lib.rs,43180,1219
semantic-memory-forge/src/v11.rs,42738,1038
semantic-memory/src/projection_storage.rs,41555,1019
kernel-execution/src/lib.rs,41294,1217
contract-schema-gen/src/lib.rs,40874,1114
semantic-memory/tests/projection_v11_tests.rs,39092,1137
semantic-memory/src/projection_storage_query.rs,38515,984
kernel-oracles/src/lib.rs,37298,1007
verification-policy/src/lib.rs,37186,1050
AiDENs/crates/aidens-testkit/src/lib.rs,36739,1019
living-memory/living-memory/tests/cea_tests.rs,36333,1011
profile-runtime/src/compose.rs,36230,983
AiDENs/crates/aidens-boundary-kit/src/lib.rs,34982,1057
forge-memory-bridge/tests/forge_bridge_memory_proof.rs,34945,936
forge-pilot/src/governance_gate.rs,32568,801
semantic-memory/src/episodes.rs,31751,884
knowledge-runtime/tests/ugly_case_tests.rs,31447,938
Primitives/typed-patch/src/lib.rs,30468,951
forge-memory-bridge/src/transform.rs,30361,732
semantic-memory/src/knowledge.rs,30186,883
semantic-memory-forge/src/envelope_tests.rs,29283,945
forge-memory-bridge/src/transform_tests.rs,28422,767
stack-ids/src/ids.rs,28096,1237
llm-tool-runtime/tests/core_tests.rs,28041,786
verification-control/src/lib_tests.rs,27959,748
semantic-memory/src/graph.rs,27709,896
forge-pilot/src/observe.rs,27619,767
effect-runtime/src/effect.rs,27358,705
constraint-compiler/src/lib_tests.rs,26148,771
AiDENs/crates/aidens-queue-kit/src/lib.rs,26137,790
Primitives/check-runner/src/lib.rs,25853,847
living-memory/living-memory/tests/experiment_tests.rs,25748,826
AiDENs/crates/aidens-app-kit/src/lib.rs,25622,765
semantic-memory/tests/episode_identity.rs,25354,722
forge-memory-bridge/src/batch.rs,24896,613
llm-tool-runtime/src/starter_tools.rs,24878,713
semantic-memory-forge/src/bundle.rs,24604,651
living-memory/living-memory/tests/patch_tests.rs,24551,763
AiDENs/crates/aidens-integration-tests/tests/phase_09_reference_hostile_tests.rs,24533,679
semantic-memory/src/conversation.rs,24259,750
knowledge-runtime/src/adapters/semantic_memory.rs,23932,667
verification-adjudication/src/lib.rs,23911,618
llm-tool-runtime/src/contracts.rs,23664,708
knowledge-runtime/src/entity/registry.rs,23263,671
kernel-conformance/src/reference_interpreters.rs,23026,614
constraint-compiler/src/lib.rs,22593,609
semantic-memory/tests/search_tests.rs,22128,784
semantic-memory/src/types.rs,22093,689
living-memory/living-memory/src/lab/evidence_analysis.rs,22062,644
Primitives/cea-store/src/lib.rs,21985,657
Primitives/cea-core/src/attribution.rs,21859,669
living-memory/living-memory/tests/evidence_tests.rs,21028,572
AiDENs/crates/aidens-integration-tests/tests/phase_07_canonical_adapter_proof.rs,19764,539
living-memory/living-memory/src/experiment.rs,19519,596
remote-oracle-admission/src/lib.rs,18991,516
forge-pilot/src/main_support/tui.rs,18936,549
knowledge-runtime/src/projection/lifecycle.rs,18634,523
knowledge-runtime/tests/invariant_tests.rs,18415,609
semantic-memory/tests/hardening_v5.rs,17872,581
semantic-memory/reference/chunk.rs,17605,523
semantic-memory/tests/knowledge_tests.rs,17105,578
forge-pilot/src/repo_chat/retrieval.rs,16730,513
semantic-memory/src/hnsw.rs,16590,525
living-memory/living-memory/src/config.rs,16135,554
living-memory/living-memory/tests/phase5_tests.rs,15901,512
