type_name,kind,owner,file,line,definition_kind,pub_use
CanonicalBackpointerV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,73,local_def,
ArtifactVersion,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,178,local_def,
AidensRunContextV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,183,local_def,
ProviderRouteKindV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,217,local_def,
ProviderRouteReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,250,local_def,
ProviderBackendStatusV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,300,local_def,
ProviderBackendMatrixEntryV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,319,local_def,
ProviderBackendMatrixV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,339,local_def,
ProviderReadinessReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,363,local_def,
ProviderReadinessReportDraftV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,378,local_def,
ProviderRouteReportV2,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,407,local_def,
ProviderRouteReportDraftV2,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,425,local_def,
ProviderCertificationFixtureV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,471,local_def,
ProviderCertificationFixtureDraftV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,485,local_def,
ArtifactKindV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,515,local_def,
PoisonReportEntryV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,705,local_def,
ExecutionLineageGraphV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,739,local_def,
ExecutionLineageNodeV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,765,local_def,
ExecutionLineageEdgeV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,772,local_def,
ToolLifecycleStateV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,780,local_def,
CapabilityGateOutcomeV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,795,local_def,
CapabilityGateDecisionV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,802,local_def,
CapabilityGateDecisionDraftV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,870,local_def,
PermitGrantV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,890,local_def,
ApprovalRequestV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1000,local_def,
ApprovalDecisionV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1072,local_def,
PermitUseReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1118,local_def,
TurnModeV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,1183,local_def,
ToolCallSourceV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,1205,local_def,
ToolCallRequestV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1211,local_def,
ToolCallResultV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1255,local_def,
TurnExecutionPlanV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1307,local_def,
TurnFinalStateV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,1348,local_def,
TurnReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1358,local_def,
StopRuleV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,1438,local_def,
StopRuleReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1451,local_def,
BudgetExhaustionReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1483,local_def,
BudgetExhaustionReportDraftV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1519,local_def,
ToolInvocationOutcomeV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,1534,local_def,
ToolInvocationReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1541,local_def,
ToolAttemptReportV1,type,aidens-contracts,crates/aidens-contracts/src/lib.rs,1567,local_def,
RunReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1665,local_def,
RepoReadReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1735,local_def,
RepoListEntryV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1796,local_def,
RepoListReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1803,local_def,
PatchProposalV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1859,local_def,
PatchApplyReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1894,local_def,
CommandRunReportV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,1965,local_def,
SandboxCapabilityTruthV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,2054,local_def,
CodexPacketV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,2099,local_def,
CodexPacketInputV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,2116,local_def,
JobStateV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,2158,local_def,
QueueHopKindV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,2176,local_def,
SafeModeOperationV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,2191,local_def,
JobV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,2199,local_def,
QueueLeaseV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,2280,local_def,
