file,lines,nonblank_lines
AiDENs/crates/aidens-contracts/src/lib.rs,10190,9524
AiDENs/crates/aidens-cli/src/lib.rs,5773,5413
knowledge-runtime/tests/cross_crate_proof.rs,3609,3283
AiDENs/crates/aidens-tool-kit/src/lib.rs,2453,2301
verification-control/src/lib.rs,1914,1810
AiDENs/crates/aidens-runner/src/lib.rs,1909,1784
AiDENs/crates/aidens-agency-kit/src/lib.rs,1814,1707
profile-runtime/src/adapters.rs,1791,1753
semantic-memory/tests/import_ugly_cases.rs,1782,1652
semantic-memory/tests/import_boundary_tests.rs,1640,1506
living-memory/living-memory/src/lab/evidence.rs,1626,1528
semantic-memory/src/lib.rs,1618,1476
semantic-memory/src/db.rs,1613,1463
semantic-memory/src/search.rs,1595,1479
AiDENs/crates/aidens-provider-kit/src/lib.rs,1471,1372
semantic-memory/src/projection_lane.rs,1470,1392
semantic-memory-forge/src/envelope.rs,1433,1359
living-memory/living-memory/tests/export_tests.rs,1421,1307
living-memory/living-memory/src/store/db.rs,1415,1304
llm-tool-runtime/src/runtime.rs,1399,1293
kernel-conformance/src/lib.rs,1393,1283
stack-ids/src/ids.rs,1236,1005
Primitives/cea-sqlite/src/lib.rs,1218,1107
kernel-execution/src/lib.rs,1216,1122
living-memory/living-memory/src/export.rs,1204,1115
knowledge-runtime/src/runtime/core.rs,1145,1062
semantic-memory/tests/projection_v11_tests.rs,1136,1065
contract-schema-gen/src/lib.rs,1113,1082
forge-pilot/src/loop_runner.rs,1073,1037
AiDENs/crates/aidens-boundary-kit/src/lib.rs,1056,973
verification-policy/src/lib.rs,1049,987
semantic-memory-forge/src/v11.rs,1037,965
semantic-memory/src/projection_storage.rs,1018,974
AiDENs/crates/aidens-testkit/src/lib.rs,1018,951
living-memory/living-memory/tests/cea_tests.rs,1010,914
kernel-oracles/src/lib.rs,1006,944
stack-ids/src/ids_tests.rs,986,938
semantic-memory/src/projection_storage_query.rs,983,934
profile-runtime/src/compose.rs,982,928
Primitives/typed-patch/src/lib.rs,950,853
semantic-memory-forge/src/envelope_tests.rs,944,863
knowledge-runtime/tests/ugly_case_tests.rs,937,829
forge-memory-bridge/tests/forge_bridge_memory_proof.rs,935,875
semantic-memory/src/graph.rs,895,818
semantic-memory/src/episodes.rs,883,818
semantic-memory/src/knowledge.rs,882,800
Primitives/check-runner/src/lib.rs,846,748
living-memory/living-memory/tests/experiment_tests.rs,825,735
forge-pilot/src/governance_gate.rs,800,739
AiDENs/crates/aidens-queue-kit/src/lib.rs,789,744
llm-tool-runtime/tests/core_tests.rs,785,675
semantic-memory/tests/search_tests.rs,783,690
constraint-compiler/src/lib_tests.rs,770,726
forge-pilot/src/observe.rs,766,715
forge-memory-bridge/src/transform_tests.rs,766,716
AiDENs/crates/aidens-app-kit/src/lib.rs,764,692
living-memory/living-memory/tests/patch_tests.rs,762,682
semantic-memory/src/conversation.rs,749,688
verification-control/src/lib_tests.rs,747,719
forge-memory-bridge/src/transform.rs,731,693
semantic-memory/tests/episode_identity.rs,721,624
llm-tool-runtime/src/starter_tools.rs,712,664
llm-tool-runtime/src/contracts.rs,707,653
effect-runtime/src/effect.rs,704,667
semantic-memory/src/types.rs,688,636
AiDENs/crates/aidens-integration-tests/tests/phase_09_reference_hostile_tests.rs,678,636
knowledge-runtime/src/entity/registry.rs,670,609
Primitives/cea-core/src/attribution.rs,668,606
knowledge-runtime/src/adapters/semantic_memory.rs,666,611
Primitives/cea-store/src/lib.rs,656,598
semantic-memory-forge/src/bundle.rs,650,611
living-memory/living-memory/src/lab/evidence_analysis.rs,643,591
verification-adjudication/src/lib.rs,617,593
kernel-conformance/src/reference_interpreters.rs,613,584
forge-memory-bridge/src/batch.rs,612,590
knowledge-runtime/tests/invariant_tests.rs,608,538
constraint-compiler/src/lib.rs,608,556
living-memory/living-memory/src/experiment.rs,595,537
semantic-memory/tests/hardening_v5.rs,580,510
semantic-memory/tests/knowledge_tests.rs,577,519
living-memory/living-memory/tests/evidence_tests.rs,571,540
living-memory/living-memory/src/config.rs,553,511
forge-pilot/src/main_support/tui.rs,548,506
AiDENs/crates/aidens-integration-tests/tests/phase_07_canonical_adapter_proof.rs,538,511
semantic-memory/src/hnsw.rs,524,462
semantic-memory/reference/chunk.rs,522,468
knowledge-runtime/src/projection/lifecycle.rs,522,465
remote-oracle-admission/src/lib.rs,515,483
forge-pilot/src/repo_chat/retrieval.rs,512,486
living-memory/living-memory/tests/phase5_tests.rs,511,456
semantic-memory/src/config.rs,489,435
living-memory/living-memory/tests/migration_tests.rs,489,425
Primitives/stabilizer-core/src/lib.rs,486,418
Primitives/cea-core/src/tests.rs,480,441
forge-pilot/tests/verification_control_tests.rs,479,445
forge-pilot/src/orient.rs,466,440
forge-pilot/tests/common/mod.rs,461,435
effect-runtime/src/observation.rs,450,428
semantic-memory/src/projection_import.rs,443,415
