relative_path,source_path,destination_path,source_size,destination_size,source_sha256,destination_sha256,match
AI-Batch-Queue/.gitignore,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/.gitignore,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/.gitignore,19,19,2ebe6cb6f5289849dce5a8a6cdd77e06b1385302c862982f8e181c4782d19214,2ebe6cb6f5289849dce5a8a6cdd77e06b1385302c862982f8e181c4782d19214,yes
AI-Batch-Queue/CHANGELOG.md,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/CHANGELOG.md,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/CHANGELOG.md,195,195,b264112baab80da93bdbe1b41b0ce1e779b619b5f7dd13faf512a926efa5d230,b264112baab80da93bdbe1b41b0ce1e779b619b5f7dd13faf512a926efa5d230,yes
AI-Batch-Queue/Cargo.lock,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/Cargo.lock,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/Cargo.lock,120649,120649,2091d1e9c7196f0497b09ba4211ab9d50e0dc80741dbdecf4072bbc4565b8b29,2091d1e9c7196f0497b09ba4211ab9d50e0dc80741dbdecf4072bbc4565b8b29,yes
AI-Batch-Queue/Cargo.toml,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/Cargo.toml,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/Cargo.toml,881,881,0fab3effb693ed265ea61c1c6dc1fcfdec5a7b9759d965d1f6f3dfa86b5b4847,0fab3effb693ed265ea61c1c6dc1fcfdec5a7b9759d965d1f6f3dfa86b5b4847,yes
AI-Batch-Queue/LICENSE,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/LICENSE,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/LICENSE,1061,1061,1b752c00cc83a681dac27ac9e8a49433026da8b1f0f54d2fe3faca17e529ae46,1b752c00cc83a681dac27ac9e8a49433026da8b1f0f54d2fe3faca17e529ae46,yes
AI-Batch-Queue/README.md,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/README.md,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/README.md,734,734,1b61fcc6c82e37f34707a1bfdc356ace509d63469dee265a96a6a172361bd217,1b61fcc6c82e37f34707a1bfdc356ace509d63469dee265a96a6a172361bd217,yes
AI-Batch-Queue/examples/basic_batch.rs,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/examples/basic_batch.rs,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/examples/basic_batch.rs,1693,1693,8f3a133ae628d68f9fca98fb82df638ddaf8b22a3735e3fa7df0b2c831622f2f,8f3a133ae628d68f9fca98fb82df638ddaf8b22a3735e3fa7df0b2c831622f2f,yes
AI-Batch-Queue/examples/eta_tracking.rs,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/examples/eta_tracking.rs,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/examples/eta_tracking.rs,2882,2882,a33290c6f6199e32e54f54151e96cc0d247d09ee809cb0fefab936fe05bad45f,a33290c6f6199e32e54f54151e96cc0d247d09ee809cb0fefab936fe05bad45f,yes
AI-Batch-Queue/examples/model_optimization.rs,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/examples/model_optimization.rs,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/examples/model_optimization.rs,2599,2599,8d0fd0bcc0b33ead5b1d299235e70dd9c38451885b2bad97cfe50f1e796e1c50,8d0fd0bcc0b33ead5b1d299235e70dd9c38451885b2bad97cfe50f1e796e1c50,yes
AI-Batch-Queue/src/eta.rs,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/src/eta.rs,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/src/eta.rs,8203,8203,1d69a30fd17447e50f050604cd36276be81df49eb86e45cfc24ca35439d2d769,1d69a30fd17447e50f050604cd36276be81df49eb86e45cfc24ca35439d2d769,yes
AI-Batch-Queue/src/executor.rs,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/src/executor.rs,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/src/executor.rs,7118,7118,0ab12e82351dcee0a0462138f255cd6b22f183b17dfaaf31d0bb08063aed4674,0ab12e82351dcee0a0462138f255cd6b22f183b17dfaaf31d0bb08063aed4674,yes
AI-Batch-Queue/src/lib.rs,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/src/lib.rs,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/src/lib.rs,6847,6847,a2db8ecceaf2325f6ac817593e1711eebbf005486d3581d22b0c6ac2d25d2ef2,a2db8ecceaf2325f6ac817593e1711eebbf005486d3581d22b0c6ac2d25d2ef2,yes
AI-Batch-Queue/src/queue.rs,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/src/queue.rs,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/src/queue.rs,28977,28977,8d71c1b53a377b5353a5a3cffa72c8a40d915d1c74ffff084be3279e67ebeb9c,8d71c1b53a377b5353a5a3cffa72c8a40d915d1c74ffff084be3279e67ebeb9c,yes
AI-Batch-Queue/src/types.rs,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/src/types.rs,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/src/types.rs,8665,8665,4f9e0d4c917de426707bdebec6622d9a34acd42f6ceba22bf553b9c07e6a6451,4f9e0d4c917de426707bdebec6622d9a34acd42f6ceba22bf553b9c07e6a6451,yes
AI-Batch-Queue/tests/integration_tests.rs,/home/sikmindz/Coding/Libraries2/AI-Batch-Queue/tests/integration_tests.rs,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/AI-Batch-Queue/tests/integration_tests.rs,20890,20890,0a1a0210c41f669ffe38b5995ea6e7255c00f44961a2a8190eb040156b5393f1,0a1a0210c41f669ffe38b5995ea6e7255c00f44961a2a8190eb040156b5393f1,yes
CLAUDE.md,/home/sikmindz/Coding/Libraries2/CLAUDE.md,/home/sikmindz/Coding/Libraries/_salvage_from_libraries2/Libraries2/CLAUDE.md,4589,4589,310c7b1f18cca0d59e784ab51711ae9be508dda833505d2069c4a91262c9b3cd,310c7b1f18cca0d59e784ab51711ae9be508dda833505d2069c4a91262c9b3cd,yes
